log_file,instance_id,domain_class,search_algorithm,plan_length,repair_length,repair,goal_reached,num_nodes_generated,sum_h_cost,sum_f_cost,sum_h_cost_time,sum_grounding_time,search_time,goal_g_cost,goal_repair_set,error_message
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_blocks_pprobBLOCKS-5-0-err-rate-0-5.yaml,blocks__pprobBLOCKS-5-0-err-rate-0-5,blocks,bfs,12,2,"pick-up,(holding ?x),effPos,1
unstack,(clear ?y),effPos,1",True,9735,0,29005,0.0,34.59010934829712,90.83,3,"unstack,(holding ?y),effPos,1
stack,(clear ?y),precPos,-1
stack,(on ?y ?x),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_7_driverlog_pp01-err-rate-0-1.yaml,driverlog__pp01-err-rate-0-1,driverlog,bfs,7,1,"drive-truck,(in ?loc-to ?loc-to),precPos,-1",True,177,0,88,0.0,1.6775989532470703,3.16,1,"drive-truck,(in ?loc-to ?loc-to),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_tpp_pp02-err-rate-0-1.yaml,tpp__pp02-err-rate-0-1,tpp,bfs,8,1,"buy,(loaded ?g ?t ?l4),effPos,1",False,,,,,,1.65,,,
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_5_mystery_pprob01-err-rate-0-3.yaml,mystery__pprob01-err-rate-0-3,mystery,bfs,5,1,"succumb,(craves ?c ?n),effPos,1",True,54,0,54,0.0,0.43567514419555664,1.69,1,"succumb,(craves ?c ?n),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_ged-opt14-strips_pd-2-3-err-rate-0-3.yaml,ged-opt14-strips__pd-2-3-err-rate-0-3,ged-opt14-strips,bfs,8,2,"invert-single-gene-a,(splicing ),effPos,1
invert-single-gene-a,(have-cut ),effPos,1",True,1579,0,2167,0.0,18.11619782447815,31.38,2,"invert-single-gene-a,(splicing ),effPos,1
invert-single-gene-a,(have-cut ),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-3.yaml,visitall-opt11-strips__pproblem02-half-err-rate-0-3,visitall-opt11-strips,bfs,1,1,"move,(visited ?nextpos),effPos,1",True,2,0,1,0.0,0.026645183563232422,1.14,1,"move,(visited ?nextpos),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_8_miconic_ps2-0-err-rate-0-5.yaml,miconic__ps2-0-err-rate-0-5,miconic,bfs,8,2,"board,(boarded ?p),effPos,1
depart,(served ?p),effPos,1",True,222,0,318,0.0,1.3715133666992188,2.84,2,"board,(boarded ?p),effPos,1
depart,(served ?p),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_10_rovers_pp01-err-rate-0-3.yaml,rovers__pp01-err-rate-0-3,rovers,bfs,10,1,"take_image,(calibrated ?i ?r),precPos,-1",True,34,0,43,0.0,0.5486483573913574,1.79,1,"take_image,(calibrated ?i ?r),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_nomystery-opt11-strips_pp11-err-rate-0-3.yaml,nomystery-opt11-strips__pp11-err-rate-0-3,nomystery-opt11-strips,bfs,12,1,"unload,(in ?p ?t),precPos,-1",False,,,,,,,,,Subprocess timed out after 900 seconds.
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_12_rovers_pp03-err-rate-0-3.yaml,rovers__pp03-err-rate-0-3,rovers,bfs,12,1,"sample_soil,(full ?s),precPos,-1",True,1027,0,1039,0.0,16.14104127883911,21.57,1,"sample_soil,(full ?s),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_4_mystery_pprob29-err-rate-0-3.yaml,mystery__pprob29-err-rate-0-3,mystery,bfs,4,1,"overcome,(fears ?v ?c),precPos,-1",True,48,0,77,0.0,0.785344123840332,2.09,1,"overcome,(fears ?v ?c),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_4_miconic_ps1-3-err-rate-0-1.yaml,miconic__ps1-3-err-rate-0-1,miconic,bfs,4,1,"depart,(lift-at ?f),precPos,-1",True,5,0,1,0.0,0.056339263916015625,1.18,1,"depart,(lift-at ?f),precPos,-1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_4_mystery_pprob03-err-rate-0-3.yaml,mystery__pprob03-err-rate-0-3,mystery,bfs,4,1,"succumb,(craves ?c ?n),effPos,1",True,471,0,215,0.0,12.327540159225464,15.85,1,"succumb,(craves ?c ?n),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_10_blocks_pprobBLOCKS-5-1-err-rate-0-3.yaml,blocks__pprobBLOCKS-5-1-err-rate-0-3,blocks,bfs,10,2,"stack,(on ?x ?y),effPos,1
unstack,(holding ?x),effPos,1",True,1935,0,4214,0.0,2.989409923553467,8.15,2,"stack,(on ?x ?y),effPos,1
unstack,(holding ?x),effPos,1",
exp_logs_anu/00 bfs relax-prec-delete lp1/bfs_length_13_pegsol-08-strips_pp04-err-rate-0-3.yaml,pegsol-08-strips__pp04-err-rate-0-3,pegsol-08-strips,bfs,13,1,"end-move,(move-ended ),precPos,-1",True,2368,0,5613,0.0,12.615980625152588,24.71,1,"end-move,(move-ended ),precPos,-1",
